"#","Venue","Year","DOI","Ext.","Title","Authors","Affiliations","Countries","Award","Certificate","Verified","",""
"1","26th ACM International Systems and Software Product Line Conference (SPLC)","2022","https://doi.org/10.1145/3546932.3546991","","Adaptive behavioral model learning for software product lines","Shaghayegh Tavassoli, Carlos Diego N. Damasceno, Ramtin Khosravi, Mohammad Reza Mousavi","University of Tehran, Radboud University Nijmegen, King's College London","IrelandNetherlandsUnited Kingdom","Best Research Paper Award","","True","",""
"2","25th ACM International Systems and Software Product Line Conference (SPLC)","2021","https://doi.org/10.1145/3461001.3471146","https://doi.org/10.1016/j.jss.2022.111551","Monte Carlo tree search for feature model analyses: a general framework for decision-making","José Miguel Horcas, José A. Galindo, Ruben Heradio, David Fernandez-Amoros, David Benavides","University of Seville, National Distance Education University (UNED)","Spain","Best Research Paper Award","SPLC2021_-_Best_Paper.pdf","True","",""
"3","23rd International Workshop on Configuration (ConfWS)","2021","https://ceur-ws.org/Vol-2945/32-JMHA-ConfWS21\_paper\_19.pdf","","Monte Carlo simulations for variability analyses in highly configurable systems","José Miguel Horcas, A. Germán Márquez, José A. Galindo, David Benavides","University of Seville","Spain","Best Paper Award","ConfWS2021_-_Best_Paper.pdf","True","",""
"4","25th ACM International Systems and Software Product Line Conference (SPLC)","2021","https://doi.org/10.1145/3461001.3471155","","A comparison of performance specialization learning for configurable systems","Hugo Martin, Mathieu Acher, Juliana Alves Pereira, Jean-Marc Jézéquel","Univ Rennes, Pontifical Catholic University of Rio de Janeiro","FranceBrazil","Best Research Paper Award","","True","",""
"5","24th ACM Conference on Systems and Software Product Line (SPLC)","2020","https://doi.org/10.1145/3382025.3414950","","Requirements-driven configuration of emergency response missions with small aerial vehicles","Jane Cleland-Huang, Ankit Agrawal, Md Nafee Al Islam, Eric Tsai, Maxime Van Speybroeck, Michael Vierhauser","University of Notre Dame, University of Namur, Johannes Kepler University Linz","United StatesBelgiumAustria","","","True","",""
"6","22nd International Workshop on Configuration (ConfWS)","2020","https://orbit.dtu.dk/en/publications/a-development-approach-towards-user-centered-front-ends-for-knowl","","A development approach towards user-centered front-ends for knowledge-based engineering configurators: a study within planning of robot-based automation solutions","Eike Schäffer, Sara Shafiee, Tobias Frühwald, Jörg Franke","Friedrich-Alexander University Erlangen-Nürnberg","Germany","Best Paper 2020","ConfWS2020.jpg","True","",""
"7","17th International Conference on Intelligent Software Methodologies, Tools and Techniques (SoMeT)","2018","https://doi.org/10.3233/978-1-61499-900-3-17","","Model driven evolution of an agent-based home energy management system","Inmaculada Ayala, Mercedes Amor, José Miguel Horcas, Lidia Fuentes","University of Málaga","Spain","Award for a Best Paper","SOMET2018_-_Best_Paper.pdf","True","",""
"8","25th International Conference on Transdisciplinary Engineering (ISTE)","2018","https://doi.org/10.3233/978-1-61499-898-3-665","","Glencoe – A Tool for Specification, Visualization and Formal Analysis of Product Lines","Anna Schmitt, Christian Bettinger, Georg Rock","Trier University of Applied Sciences","Germany","Best Paper Award","","True","",""
"9","20th International Workshop on Configuration (ConfWS)","2018","https://graz.elsevierpure.com/en/publications/liquid-democracy-in-group-based-configuration","","Liquid Democracy in Group-based Configuration","Muesluem Atas, Thi Ngoc Trang Tran, Ralph Samer, Alexander Felfernig, Martin Stettinger, Davide Fucci","Graz University of Technology","Austria","Best Paper Award","","True","",""
"10","21st International Systems and Software Product Line Conference (SPLC) - Data, Demonstrations and Tools track","2017","https://doi.org/10.1145/3109729.3109749","","Extending the Common Variability Language (CVL) Engine: A practical tool","José Miguel Horcas, Mónica Pinto, Lidia Fuentes","University of Málaga","Spain","Hitachi Young Best Paper Award","SPLC2017_-_Best_Paper.pdf","True","",""
"11","14th German Conference on Multiagent System Technologies (MATES)","2016","https://doi.org/10.1007/978-3-319-45889-2\_12","","Using models at runtime to adapt self-managed agents for the IoT","Inmaculada Ayala, José Miguel Horcas, Mercedes Amor, Lidia Fuentes","University of Málaga","Spain","Best Paper Award","MATES2016_-_Best_Paper.pdf","True","",""
"12","17th International Configuration Workshop (ConfWS)","2015","https://ceur-ws.org/Vol-1453/14_Haag_ColumnOrientedCompilationOf_Confws-15_p89.pdf","","Column oriented compilation of variant tables","Albert Haag","SAP SE","Germany","Best Paper Award","","True","",""
